Date,longitude,latitude,Integrated_FRP,Max_FRP,state,Precipitation,Air_Temperature_Max,Air_Temperature_Mean,Wind_Speed,Wind_Direction,Biomass,Solar_Radiance,Soil_Moisture,LST_Day_Max,LST_Day_Mean,LST_Night_Max,LST_Night_Mean,Relative_Humidity,Recent_Humidity,MODIS_Burn_Area,Elevation,Slope,Aspect,LAI,NDVI,EVI,SPEI,FMC_mean,FMC_max,FMC_min,Flam_max,Flam_mean,Flam_min,Daily_KBDI,Month_KBDI,Year_KBDI,LULC_Cat,Forest_Type_Cat,Prev_Freq,Prev_mir,Prev_tir,Prev_alb,Month,Forest_Type_Num,LULC_Num
7/12/2019,147.952148,-42.148438,12.17,12.17, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,72,300.9375,283.5,0.117188,12,10,10
8/12/2019,147.952148,-42.148438,1249.33,62.26, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,1,292.8125,281.8125,0.125,12,10,10
9/12/2019,147.952148,-42.148438,133.1,23.965, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,48,324.8125,288.9375,0.1875,12,10,10
4/12/2019,147.977539,-42.148438,80.93,29.975, TAS,596.4699707,12.43820804,11.87695166,5.0100098,172.8580017,13.5207005,3120.090088,0.206116,24.2254009,17.448,13.2159004,9.0314903,63.16229745,79.6198824,176.8066938,215.6199951,3.10199,104.685997,1.592732443,0.367367,0.240324481,-1.0717067,85.3164291,91.7589493,77.9387054,0.5449334,0.2439285,0.0491127,381.5786559,389.1528711,167.2996402,Other minimal use,Eucalypt Medium Woodland,21,311.3125,288.25,0.125,12,10,12
5/12/2019,147.977539,-42.148438,865.02,63.77, TAS,596.4699707,12.43820804,11.87695166,5.0100098,172.8580017,13.5207005,3120.090088,0.206116,24.2254009,17.448,13.2159004,9.0314903,63.16229745,79.6198824,176.8066938,215.6199951,3.10199,104.685997,1.592732443,0.367367,0.240324481,-1.0717067,85.3164291,91.7589493,77.9387054,0.5449334,0.2439285,0.0491127,381.5786559,389.1528711,167.2996402,Other minimal use,Eucalypt Medium Woodland,4,314.9375,287.5,0.132812,12,10,12
6/12/2019,147.977539,-42.148438,702.89,27.03, TAS,596.4699707,12.43820804,11.87695166,5.0100098,172.8580017,13.5207005,3120.090088,0.206116,24.2254009,17.448,13.2159004,9.0314903,63.16229745,79.6198824,176.8066938,215.6199951,3.10199,104.685997,1.592732443,0.367367,0.240324481,-1.0717067,85.3164291,91.7589493,77.9387054,0.5449334,0.2439285,0.0491127,381.5786559,389.1528711,167.2996402,Other minimal use,Eucalypt Medium Woodland,39,313.75,286.5625,0.09375,12,10,12
8/12/2019,147.977539,-42.148438,978.265,35.005, TAS,596.4699707,12.43820804,11.87695166,5.0100098,172.8580017,13.5207005,3120.090088,0.206116,24.2254009,17.448,13.2159004,9.0314903,63.16229745,79.6198824,176.8066938,215.6199951,3.10199,104.685997,1.592732443,0.367367,0.240324481,-1.0717067,85.3164291,91.7589493,77.9387054,0.5449334,0.2439285,0.0491127,381.5786559,389.1528711,167.2996402,Other minimal use,Eucalypt Medium Woodland,42,301.25,284.375,0.132812,12,10,12
10/12/2019,147.977539,-42.148438,86.87,47.365, TAS,596.4699707,12.43820804,11.87695166,5.0100098,172.8580017,13.5207005,3120.090088,0.206116,24.2254009,17.448,13.2159004,9.0314903,63.16229745,79.6198824,176.8066938,215.6199951,3.10199,104.685997,1.592732443,0.367367,0.240324481,-1.0717067,85.3164291,91.7589493,77.9387054,0.5449334,0.2439285,0.0491127,381.5786559,389.1528711,167.2996402,Other minimal use,Eucalypt Medium Woodland,45,301.75,284.625,0.125,12,10,12
6/12/2019,147.926758,-42.147461,1005.63,29.03, TAS,596.4699707,10.78621524,10.13905584,4.2584,309.2229919,14.4863997,3091.51001,0.229616,21.4992008,15.4643002,12.4391003,8.3227396,63.03335072,82.02578629,176.8066938,457.0910034,3.38956,77.2125015,3.499859611,0.430339,0.289046314,-1.0717067,105.3153076,106.1404343,104.0697784,0.2092329,0.1516514,0.0818274,395.8356139,402.9369535,174.6255988,Production native forests,Eucalypt Tall Woodland,21,311.3125,288.25,0.125,12,13,14
8/12/2019,147.926758,-42.147461,35.42,35.42, TAS,596.4699707,10.78621524,10.13905584,4.2584,309.2229919,14.4863997,3091.51001,0.229616,21.4992008,15.4643002,12.4391003,8.3227396,63.03335072,82.02578629,176.8066938,457.0910034,3.38956,77.2125015,3.499859611,0.430339,0.289046314,-1.0717067,105.3153076,106.1404343,104.0697784,0.2092329,0.1516514,0.0818274,395.8356139,402.9369535,174.6255988,Production native forests,Eucalypt Tall Woodland,58,300.9375,282.3125,0.101562,12,13,14
